name,developer,publisher
Lego Batman 2: DC Super Heroes,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego Batman 3: Beyond Gotham,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego Batman: The Videogame,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego Dimensions,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego Harry Potter: Years 1–4,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego Harry Potter: Years 5–7,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego The Hobbit,Traveller's Tales,"Warner Bros. Interactive Entertainment, MGM Interactive"
Lego Indiana Jones 2: The Adventure Continues,Traveller's Tales,LucasArts
Lego Indiana Jones: The Original Adventures,Traveller's Tales,LucasArts
Lego Jurassic World,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego The Lord of the Rings,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego Marvel Super Heroes,TT Games,Warner Bros. Interactive Entertainment
Lego Marvel's Avengers,TT Games,Warner Bros. Interactive Entertainment
The Lego Movie Videogame,TT Games,Warner Bros. Interactive Entertainment
Lego Pirates of the Caribbean: The Video Game,Traveller's Tales,Disney Interactive Studios
Lego Rock Band,"Harmonix Music Systems, Traveller's Tales","Warner Bros. Interactive Entertainment, MTV Games"
Lego Star Wars: The Complete Saga,Traveller's Tales,LucasArts
Lego Star Wars: The Force Awakens,Traveller's Tales,Warner Bros. Interactive Entertainment
Lego Star Wars II: The Original Trilogy,Traveller's Tales,LucasArts
Lego Star Wars III: The Clone Wars,Traveller's Tales,LucasArts
Leisure Suit Larry: Box Office Bust,Team17,Sierra Entertainment
Let's Cheer,Cat Daddy Games,2K Play
Let's Dance with Mel B,Lightning Fish,Black Bean Games
Let's Sing and Dance,Voxler Games,Deep Silver
Life Is Strange,Dontnod Entertainment,Square Enix
Lightning Returns: Final Fantasy XIII,Square Enix,Square Enix
Limbo,Playdead,Microsoft Game Studios
Lips,iNiS,Microsoft Game Studios
Lips: Canta en Español,iNiS,Microsoft Studios
Lips: I Love the 80's,iNiS,Microsoft Studios
Lips: Number One Hits,iNiS,Microsoft Game Studios
Lips: Party Classics,iNiS,Microsoft Game Studios
Lips: Deutsche Partyknaller,iNiS,Microsoft Studios
Little League World Series Baseball 2010,Now Production,Activision
LMA Manager 2007,Codemasters,Codemasters
LocoCycle,Twisted Pixel Games,Microsoft Studios
Lode Runner,Southend Interactive/Tozai Games,Microsoft Game Studios
Lollipop Chainsaw,Grasshopper Manufacture,Warner Bros. Interactive Entertainment
London 2012: The Official Video Game,Sega Studios Australia,Sega
Looney Tunes: Acme Arsenal,Redtribe,Warner Bros. Interactive Entertainment
The Lord of the Rings: Conquest,Pandemic Studios,Electronic Arts
The Lord of the Rings: The Battle for Middle-earth II,EA Los Angeles,Electronic Arts
The Lord of the Rings: War in the North,Snowblind Studios,Warner Bros. Interactive Entertainment
Lost Cities,Sierra Entertainment,Sierra Entertainment
Lost Odyssey,Mistwalker,Microsoft Game Studios
Lost Planet 2,Capcom,Capcom
Lost Planet 3,Spark Unlimited,Capcom
Lost Planet: Extreme Condition,Capcom,Capcom
Lost Planet: Extreme Condition Colonies Edition,Capcom,Capcom
Lost: Via Domus,Ubisoft Montreal,Ubisoft
Love Football,Namco Bandai Games,Namco Bandai Games
Love Tore: Bitter (a.k.a. ラブ*トレ/ Love*Tra),Boost On,Boost On
Love Tore: Chocolate (Love Tore Trilogy Set) (a.k.a. ラブ*トレ/ Love*Tra),Boost On,Boost On
Love Tore: Mint (a.k.a. ラブ*トレ/ Love*Tra),Boost On,Boost On
Love Tore: Sweet (a.k.a. ラブ*トレ/ Love*Tra),Boost On,Boost On
Lucha Fury,Punchers Impact,Coktel
Lucha Libre AAA 2010: Héroes del Ring,Immersion Software,Sabarasa Studios
Lucidity,LucasArts,Disney Interactive Studios
Lumines Live!,Q Entertainment,Microsoft Game Studios
Luxor 2,MumboJumbo,Microsoft Game Studios
Machi-ing Maker 4,D3Publisher,D3Publisher
Mad Riders,Techland,Ubisoft
Mad Tracks,Load,Microsoft Game Studios
Madagascar 3: The Video Game,Monkey Bar Games,D3 Publisher
Madagascar Kartz,Sidhe Interactive,Activision
Madagascar: Escape 2 Africa,Papaya Studio,Activision
Madballs in Babo: Invasion,Playbrains,Microsoft Game Studios
Madden NFL 06,EA Tiburon,EA Sports
Madden NFL 07,EA Tiburon,EA Sports
Madden NFL 08,EA Tiburon,EA Sports
Madden NFL 09,EA Tiburon,EA Sports
Madden NFL 10,EA Tiburon,EA Sports
Madden NFL 11,EA Tiburon,EA Sports
Madden NFL 12,EA Tiburon,EA Sports
Madden NFL 13,EA Tiburon,EA Sports
Madden NFL 15,EA Tiburon,EA Sports
Madden NFL 16,EA Tiburon,EA Sports
Madden NFL 17,EA Tiburon,EA Sports
Madden NFL 25,EA Tiburon,EA Sports
Madden NFL Arcade,EA Tiburon,Electronic Arts
Mafia II,2K Czech,2K Games
Magic 2009Magic: The Gathering – Duels of the Planeswalkers,Stainless Games,Wizards of the Coast
Magic: The Gathering 2012,Stainless Games,Wizards of the Coast
Magic: The Gathering 2013,Stainless Games,Wizards of the Coast
Magic: The Gathering 2014,Stainless Games,Wizards of the Coast
Magic: The Gathering 2015,Stainless Games,Wizards of the Coast
MagnaCarta 2,Softmax,Banpresto
Magrunner: Dark Pulse,Frogwares,Focus Home Interactive
Mahjong * Dream C Club,D3Publisher,D3Publisher
Maji-Ten: Maji de Tenshi o Tsukutte Mita,Idea Factory,Idea Factory
Majin and the Forsaken Kingdom,Game Republic,Namco Bandai Games
Major League Baseball 2K6,Visual Concepts,2K Sports
Major League Baseball 2K7,Kush Games,2K Sports
Major League Baseball 2K8,Kush Games,2K Sports
Major League Baseball 2K9,Visual Concepts,2K Sports
Major League Baseball 2K10,Visual Concepts,2K Sports
Major League Baseball 2K11,Visual Concepts,2K Sports
Major League Baseball 2K12,Visual Concepts,2K Sports
Major League Baseball 2K13,Visual Concepts,2K Sports
Mamoru-kun wa Norowarete Shimatta!,Crave Games,Discovery Channel
Man Vs. Wild With Bear Grylls,G.rev,G.rev
Marathon: Durandal,Freeverse,Microsoft Game Studios
Marble Blast Ultra,GarageGames,Microsoft Game Studios
Mark of the Ninja,Klei Entertainment,Microsoft Studios
Marlow Briggs and the Mask of Death,ZootFly,505 Games
Mars: War Logs,Spiders,Focus Home Interactive
Marvel Avengers: Battle for Earth,Ubisoft Quebec,Ubisoft
Marvel Puzzle Quest: Dark Reign,WayForward Technologies,D3 Publisher
Marvel Super Hero Squad: Comic Combat,Griptonite Games,THQ
Marvel Super Hero Squad: The Infinity Gauntlet,Griptonite Games,THQ
Marvel vs. Capcom 2: New Age of Heroes,Capcom/Backbone Entertainment,Capcom
Marvel vs. Capcom 3: Fate of Two Worlds,Capcom,Capcom
Marvel vs. Capcom Origins,Capcom/Iron Galaxy,Capcom
Marvel: Ultimate Alliance,Raven Software,Activision
Marvel: Ultimate Alliance 2,Raven Software,Activision
Masquerade: The Baubles of Doom,Big Ant Studios,Home Entertainment Suppliers
Mass Effect,BioWare,Microsoft Game Studios
Mass Effect 2,BioWare,Electronic Arts
Mass Effect 3,BioWare,Electronic Arts
Matt Hazard: Blood Bath and Beyond,Vicious Cycle Software,D3 Publisher
The Maw,Twisted Pixel Games,Microsoft Game Studios
Max Payne 3,Rockstar Vancouver,Rockstar Games
Max: The Curse of Brotherhood,Press Play,Microsoft Studios
Mayhem 3D,Left Field Productions,Rombax Games
Medal of Honor,Danger Close Games,Electronic Arts
Medal of Honor: Airborne,EA Los Angeles,Electronic Arts
Medal of Honor: Warfighter,Danger Close Games,Electronic Arts
Meet the Robinsons,Avalanche Software,Disney Interactive Studios
Mega Man 09Mega Man 9,Inti Creates/Capcom,Capcom
Mega Man 10Mega Man 10,Inti Creates/Capcom,Capcom
Megamind: Ultimate Showdown,THQ,THQ
Meikyuu Cross Blood: Reloaded,Kadokawa,Kadokawa
Memories Off 6: Next Relation,5pb.,5pb.
Memories Off 6: T-wave,5pb.,5pb.
Memories Off: Yubikiri no Kioku,5pb.,5pb.
Men in Black: Alien Crisis,Fun Labs,Activision
Mercenaries 2: World in Flames,Pandemic Studios,Electronic Arts
Mercury Hg,Eiconic Games,UTV Ignition Entertainment
Merv Griffin's Crosswords,Pipeworks Software,THQ
Metal Gear Rising: Revengeance,Kojima Productions,Konami
Metal Gear Solid HD Collection,Kojima Productions,Konami
Metal Gear Solid V: Ground Zeroes,Kojima Productions,Konami
Metal Gear Solid V: The Phantom Pain,Kojima Productions,Konami
Metal Gear Solid: Peace Walker HD Edition,Kojima Productions,Konami
Metal Slug 3,SNK,SNK
Metal Slug XX,SNK,SNK
Meteos Wars,Q Entertainment,Q Entertainment
Metro 2033,4A Games,THQ
Metro: Last Light,4A Games,Deep Silver
Michael Jackson: The Experience,Ubisoft Montreal,Ubisoft
Michael Phelps: Push The Limit,Blitz Games Studios,505 Games
MicroBot,Naked Sky Entertainment,Electronic Arts
Middle-earth: Shadow of Mordor,Monolith Productions,Warner Bros. Interactive Entertainment
Midnight Club: Los Angeles,Rockstar San Diego,Rockstar Games
Midway Arcade Origins,Backbone Entertainment,Warner Bros.
Might & Magic: Clash of Heroes HD,Capybara Games,Ubisoft
Might & Magic: Duel of Champions - Forgotten Wars,Ubisoft,Ubisoft
Mighty No. 9Mighty No. 9,Comcept/Inti Creates,Deep Silver
Military Madness: Nectaris,Backbone Entertainment,Hudson Soft
MindJack,feelplus,Square Enix
Minecraft: Story Mode,Telltale Games,Telltale Games
Minecraft: Story Mode Season Two,Telltale Games,Telltale Games
Minecraft: Xbox 360 Edition,4J Studios,Microsoft Studios
Minesweeper Flags,TikGames,Microsoft Game Studios
Mini Ninjas,IO Interactive,Eidos Interactive
Mini Ninjas Adventures,Side Kick LTD,Square Enix
Minute To Win It,,Zoo Games
Mirror's Edge,Digital Illusions CE,Electronic Arts
The Misadventures of P.B. Winterbottom,The Odd Gentlemen,2K Play
Missile Command,Stainless Games/Atari,Atari
MLB Bobblehead Battle,Konami,Konami
MLB Bobblehead Pros,Konami,Konami
MLB Front Office Manager,Blue Castle Games,2k Sports
MLB Stickball,Gaia Industries,2K Sports
Moe Moe 2-Ji Daisenryaku Ultra Deluxe,SystemSoft,SystemSoft
Mobile Ops: The One Year War,Dimps,Namco Bandai Games
Momotarou Dentetsu 16 Gold,Hudson Soft,Hudson Soft
Monaco: What's Yours Is Mine,Pocketwatch Games,Majesco Entertainment
Monday Night Combat,Uber Entertainment,Microsoft Game Studios
Monkey Island 2 Special Edition: LeChuck's Revenge,LucasArts,Disney Interactive Studios
Monopoly,EA Bright Light,Electronic Arts
Monopoly Deal,Asobo Studio,Ubisoft
Monopoly Plus,Asobo Studio,Ubisoft
Monopoly Streets,Electronic Arts,Electronic Arts
Monster High: New Ghoul in School,Little Orbit,Little Orbit
Monster Hunter Frontier,Capcom,Microsoft Game Studios
Monster Hunter Frontier G1,Capcom,Capcom
Monster Hunter Frontier G2,Capcom,Capcom
Monster Hunter Frontier G3,Capcom,Capcom
Monster Hunter Frontier G5,Capcom,Capcom
Monster Hunter Frontier G6,Capcom,Capcom
Monster Hunter Frontier G7,Capcom,Capcom
Monster Hunter Frontier G8,Capcom,Capcom
Monster Hunter Frontier G9,Capcom,Capcom
Monster Hunter Frontier G10,Capcom,Capcom
Monster Hunter Frontier GG,Capcom,Capcom
Monster Hunter Frontier Z,Capcom,Capcom
Monster Jam,Torus Games,Activision
Monster Jam Battlegrounds,Team 6,GameMill Entertainment
Monster Jam: Path of Destruction,Virtuos,Activision
Monster Madness: Battle for Suburbia,Artificial Studios,SouthPeak Games
Monsters vs. Aliens,Activision,Activision
Moon Diver,Feelplus,Square Enix
MorphX,"Buka Entertainment, Targem Games",505 Games
Mortal Kombat,NetherRealm Studios,Warner Bros. Interactive Entertainment
Mortal Kombat Arcade Kollection,Other Ocean InteractiveNetherRealm Studios,Warner Bros. Interactive Entertainment
Mortal Kombat vs. DC Universe,Midway Games,Midway Games
Motion Explosion,Artech Studios,Majesco Entertainment
MotionSports,Ubisoft Milan,Ubisoft
MotionSports Adrenaline,Longtail Studios,Ubisoft
Motocross Madness,Bongfish,Microsoft Studios
MotoGP '06,Black Rock Studio,THQ
MotoGP '07,Black Rock Studio,THQ
MotoGP '08,Milestone,Capcom
MotoGP 09/10,Monumental Games,Capcom
MotoGP 10/11,Monumental Games,Capcom
MotoGP 13,Milestone,Milestone
MotoGP 14,Milestone,Namco Bandai Games
MotoGP 15,Milestone,Namco Bandai Games
Motorcycle Club,Kylotonn Games,Bigben Interactive
Mr. Driller Online,Bandai Namco Entertainment,Bandai Namco Entertainment
Ms. Pac-Man,Bandai Namco Entertainment,Bandai Namco Entertainment
Ms. Splosion Man,Twisted Pixel Games,Microsoft Studios
Muchi Muchi Pork! & Pink Sweets: Ibara Sore Kara,Cave,Cave
Mud - FIM Motocross World Championship,Namco Bandai Games,Milestone
Murdered: Soul Suspect,"Airtight Games,",Square Enix
Mushihimesama,Cave,Cave
Mushihime-sama Futari,Cave,Cave
Mutant Storm Empire,PomPom Games,Microsoft Game Studios
Mutant Storm Reloaded,PomPom Games,Microsoft Game Studios
MuvLuv,5pb.,5pb.
MuvLuv Alternative,5pb.,5pb.
Muv-Luv Alternative: Total Eclipse,5pb.,5pb.
MX vs. ATV Alive,Rainbow Studios,THQ
MX vs. ATV Reflex,Rainbow Studios,THQ
MX vs. ATV: Supercross,Rainbow Studios,Nordic Games
MX vs. ATV: Untamed,Rainbow Studios,THQ
MXGP The Official Motocross Videogame,Bandai Namco,Milestone
My Body Coach 3,Kylotonn,Bigben Interactive
My Horse & Me 2,Tate Interactive,Atari
MySims SkyHeroes,Maxis,Electronic Arts
N+,Slick Entertainment,Microsoft Game Studios
nail'd,Techland,Deep Silver
Namco Museum Virtual Arcade,Namco Bandai Games,Namco Bandai Games
Narco Terror,Deep Silver,Deep Silver
Naruto: The Broken Bond,Ubisoft Montreal,Ubisoft
Naruto: Rise of a Ninja,Ubisoft Montreal,Ubisoft
Naruto Shippuden: Ultimate Ninja Storm 2,CyberConnect2,Namco Bandai Games
Naruto Shippuden: Ultimate Ninja Storm 3,CyberConnect2,Namco Bandai Games
Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,CyberConnect2,Namco Bandai Games
Naruto Shippuden: Ultimate Ninja Storm Generations,CyberConnect2,Namco Bandai Games
Naruto Shippuden: Ultimate Ninja Storm Revolution,CyberConnect2,Namco Bandai Games
NASCAR 08,EA Tiburon,EA Sports
NASCAR 09,EA Tiburon,EA Sports
NASCAR '14,Eutechnyx,Activision
NASCAR '15,Dusenberry Martin Racing,Activision
NASCAR '15 Victory Edition,Dusenberry Martin Racing,Activision
NASCAR The Game: 2011,Eutechnyx,Activision
NASCAR The Game: Inside Line,Eutechnyx,Activision
NASCAR Unleashed,Firebrand Games,Activision
National Geo Challenge!,Gusto Games,Black Bean Games
National Geo Challenge: Wild Life,Gusto Games,Black Bean Games
Naughty Bear,Artificial Mind and Movement,505 Games
Naughty Bear: Panic in Paradise,Behaviour Interactive,505 Games
Naval Assault: The Killing Tide,Artech Studios,505 Games
NBA 2K6,Visual Concepts,2K Sports
NBA 2K7,Visual Concepts,2K Sports
NBA 2K8,Visual Concepts,2K Sports
NBA 2K9,Visual Concepts,2K Sports
NBA 2K10,Visual Concepts,2K Sports
NBA 2K10 Draft Combine,Visual Concepts,2K Sports
NBA 2K11,Visual Concepts,2K Sports
NBA 2K12,Visual Concepts,2K Sports
NBA 2K13,Visual Concepts,2K Sports
NBA 2K14,Visual Concepts,2K Sports
NBA 2K15,Visual Concepts,2K Sports
NBA 2K16,Visual Concepts,2K Sports
NBA 2K17,Visual Concepts,2K Sports
NBA 2K18,Visual Concepts,2K Sports
NBA Baller Beats,HB Studios,Majesco Entertainment
NBA Ballers: Chosen One,Midway Games,Midway Games
NBA Jam,EA Canada,EA Sports
NBA Jam: On Fire Edition,EA Sports,Electronic Arts
NBA Live 06,EA Canada,EA Sports
NBA Live 07,EA Canada,EA Sports
NBA Live 08,EA Canada,EA Sports
NBA Live 09,EA Canada,EA Sports
NBA Live 10,EA Canada,EA Sports
NBA Street Homecourt,EA Canada,EA Sports
NBA Unrivaled,A.C.R.O.N.Y.M. Games,Tecmo
NCAA Basketball 09[note 3],EA Canada,EA Sports
NCAA Basketball 09: March Madness Edition,EA Canada,Electronic Arts
NCAA Basketball 10,EA Canada,EA Sports
NCAA Football 07,EA Tiburon,EA Sports
NCAA Football 08,EA Tiburon,EA Sports
NCAA Football 09,EA Tiburon,EA Sports
NCAA Football 10,EA Tiburon,EA Sports
NCAA Football 11,EA Tiburon,EA Sports
NCAA Football 12,EA Tiburon,EA Sports
NCAA Football 13,EA Tiburon,EA Sports
NCAA Football 14,EA Tiburon,EA Sports
NCAA March Madness 07,EA Canada,EA Sports
NCAA March Madness 08,EA Canada,EA Sports
NCIS: The Game,Ubisoft,Ubisoft
Need for Speed: Carbon,EA Black Box,Electronic Arts
Need for Speed: Hot Pursuit,Criterion Games,Electronic Arts
Need for Speed: Most Wanted (2005),EA Black Box,Electronic Arts
Need for Speed: Most Wanted (2012),Criterion Games,Electronic Arts
Need for Speed: ProStreet,EA Black Box,Electronic Arts
Need for Speed: Rivals,Ghost Games,Electronic Arts
Need for Speed: Shift,Slightly Mad Studios,Electronic Arts
Need for Speed: The Run,EA Black Box,Electronic Arts
Need for Speed: Undercover,EA Black Box,Electronic Arts
NeoGeo Battle Coliseum,SNK,SNK
NeverDead,Rebellion Developments,Konami
New Rally-X,Bandai Namco Entertainment,Bandai Namco Entertainment
Nexuiz,IllFonic,THQ
NFL Blitz,EA Tiburon,Electronic Arts
NFL Head Coach 09,EA Tiburon,EA Sports
NFL Tour,EA Tiburon,EA Sports
NHL 07,EA Canada,EA Sports
NHL 08,EA Canada,EA Sports
NHL 09,EA Canada,EA Sports
NHL 10,EA Canada,EA Sports
NHL 11,EA Canada,EA Sports
NHL 12,EA Canada,EA Sports
NHL 13,EA Canada,EA Sports
NHL 14,EA Canada,EA Sports
NHL 15,EA Canada,EA Sports
NHL: Legacy Edition,EA Canada,EA Sports
NHL 2K6,Kush Games,2K Sports
NHL 2K7,Kush Games,2K Sports
NHL 2K8,Kush Games,2K Sports
NHL 2K9,Visual Concepts,2K Sports
NHL 2K10,Visual Concepts,2K Sports
Nickelodeon Dance,High Voltage Software,2K Play
Nickelodeon Dance 2,High Voltage Software,2K Play
Nicktoons MLB,High Voltage Software,2K Play
Nier,Cavia,Square Enix
Night at the Museum: Battle of the Smithsonian,Amaze Entertainment,Majesco Entertainment
NiGHTS into Dreams...,Sonic Team,Sega
Nike+ Kinect Training,Sumo Digital,Microsoft Studios
NIN2-JUMP,CAVE,CAVE
Ninety-Nine Nights,"Q Entertainment, Phantagram",Microsoft Game Studios
Ninety-Nine Nights II,"Q Entertainment, Feelplus",Microsoft Game Studios
Ninja Blade,From Software,Microsoft Game Studios
Ninja Gaiden 3,Team Ninja,Tecmo Koei
Ninja Gaiden 3: Razor's Edge,Team Ninja,Tecmo
Ninja Gaiden II,Team Ninja,Microsoft Game Studios
No Fate! Only the Power of Will,Alchemist,Alchemist
No More Heroes: Heroes' Paradise,feelplus,Marvelous Entertainment
Nobunaga no Yabou: Tendou,Koei,Koei
Novadrome,Stainless Games,Microsoft Game Studios
NPPL Championship Paintball 2009,Sand Grain Studios,Activision
Nurarihyon no Mago: Hyakki Ryouran Taisen,Arc System Works,Konami
Obut Pétanque,Kylotonn,Bigben Interactive
Obut Pétanque 2,Kylotonn,Bigben Interactive
Of Orcs and Men,Cyanide Studio,Focus Home Interactive
Omega Five,Natsume,Hudson Soft
Omerta – City of Gangsters,Haemimont Games,Kalypso Media
Onechanbara: Bikini Samurai Squad,Tamsoft,D3 Publisher
Onechanbara Z: Kagura,Tamsoft,D3 Publisher
Open Season,Ubisoft,Ubisoft
Operation Darkness,Success Corporation,Success Corporation
Operation Flashpoint: Dragon Rising,Codemasters,Codemasters
Operation Flashpoint: Red River,Codemasters,Codemasters
The Orange Box[note 4],Valve,Electronic Arts
Orc Attack: Flatulent Rebellion,Casual Brothers Games,GameMill Entertainment
Orcs Must Die!,Robot Entertainment,Microsoft Studios
Ore no Yome: Anata Dake no Hanayome,Idea Factory,Idea Factory
Otomedius Excellent,Konami,Konami
Otomedius Gorgeous,Konami,Konami
The Outfit,Relic Entertainment,THQ
Outland,Housemarque,Ubisoft
Outpost Kaloki X,NinjaBee,Microsoft Game Studios
OutRun Online Arcade,Sumo Digital,Sega
Over G Fighters,Taito,Ubisoft
Overlord[note 5],Triumph Studios,Codemasters
Overlord II,Triumph Studios,Codemasters
Pacific Rim: The Video Game,Yuke's,Yuke's
Pac-Man,Bandai Namco Entertainment,Bandai Namco Entertainment
Pac-Man and the Ghostly Adventures,Namco Bandai Games,Namco Bandai Games
Pac-Man and the Ghostly Adventures 2,Namco Bandai Games,Namco Bandai Games
Pac-Man Championship Edition,Bandai Namco Entertainment,Bandai Namco Entertainment
Pac-Man Championship Edition DX[note 6],Bandai Namco Entertainment,Bandai Namco Entertainment
Pac-Man Museum(includes nine Pac-Man games),Bandai Namco Entertainment,Bandai Namco Entertainment
Painkiller: Hell & Damnation,The Farm 51,Nordic Games
Panzer General: Allied Assault,Petroglyph Games,Ubisoft
Paperboy,Midway Games/Digital Eclipse,Midway Games
The Path of Go,Microsoft Research Cambridge,Microsoft Game Studios
Payday 2,"Overkill Software, Starbreeze Studios",505 Games
PDC World Championship Darts 2008,Mere Mortals,Oxygen Interactive
PDC World Championship Darts Pro Tour,Redoubt,Oxygen Interactive
The Peanuts Movie: Snoopy's Grand Adventure,Beenox,Activision
Peggle,PopCap Games,PopCap Games
Peggle 2,PopCap Games,Electronic Arts
Penguins of Madagascar: Dr. Blowhole Returns - Again,THQ,THQ
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode One,Hothead Games,Microsoft Game Studios
Penny Arcade Adventures: On the Rain-Slick Precipice of Darkness Episode Two,Hothead Games,Microsoft Game Studios
Perfect Dark,Rare/4J Studios,Microsoft Game Studios
Perfect Dark Zero,Rare,Microsoft Game Studios
Persona 4 Arena[note 7],Arc System Works,Atlus
Persona 4 Arena Ultimax,Arc System Works,Atlus
Peter Jackson's King Kong,Ubisoft Montpellier,Ubisoft
Phantasy Star II,Sega/Backbone Entertainment,Sega
Phantasy Star Universe[note 8],Sonic Team,Sega
Phantom Breaker,5pb.,5pb.
Phantom Breaker: Battle Grounds,5pb. Division 2,5pb.
Phantom Breaker: Extra,5pb.,5pb.
Phantom: Phantom of Inferno,Nitro+,Nitro+
Phineas and Ferb: Quest for Cool Stuff,Behaviour Interactive,"Majesco Entertainment, 505 Games"
Pid,Might and Delight,D3 Publisher
Pimp My Ride,Eutechnyx,Activision
Pia Carrot e Youkoso!! 4: Natsu no Koikatsu,GN Software,GN Software
The Pinball Arcade,FarSight Studios,Alliance Digital Media
Pinball FX,Zen Studios,Microsoft Game Studios
Pinball FX 2,Zen Studios,Microsoft Game Studios
Pinball Hall of Fame: The Williams Collection,FarSight Studios,Crave Entertainment
Pirates of the Caribbean: At World's End,Eurocom,Buena Vista Games
Pirates vs. Ninjas Dodgeball,Blazing Lizard,Gamecock Media Group
Planet 51,Pyro Studios,Sega
Planets Under Attack,Targem Games,TopWare Interactive
Plants vs. Zombies,PopCap Games,PopCap Games
Plants vs. Zombies: Garden Warfare,PopCap Games,Electronic Arts
PocketBike Racer,Blitz Games,King Games
Poker Night 2,Telltale Games,Telltale Games
Poker Smash,Void Star Creations,Microsoft Game Studios
Polar Panic,Eiconic Games,Valcon Games
Pool Nation,Cherry Pop Games,Mastertronic Group
Port Royale 3: Pirates & Merchants,Gaming Minds Studio,Kalypso Media
Portal 2,Valve,Valve
Portal: Still Alive,Valve,Microsoft Game Studios
Power Gig: Rise of the SixString,Seven45 Studios,Seven45 Studios
Power Rangers Super Samurai,Namco Bandai,Namco Bandai
PowerUp Forever,Blitz Arcade,Bandai Namco Entertainment
PowerUp Heroes,Longtail Studios,Ubisoft
Prey,Human Head Studios,2K Games
The Price is Right: The Decades,Ludia,Ubisoft
Prince of Persia,Ubisoft Montreal,Ubisoft
Prince of Persia: The Forgotten Sands,Ubisoft,Ubisoft
Prince of Persia Classic,Gameloft,Ubisoft
Prison Architect: Xbox 360 Edition,Introversion Software/Double Eleven,Double Eleven
Prison Break: The Conspiracy,ZootFly,Deep Silver
Prize Driver,Rare,Microsoft Studios
Pro Evolution Soccer 2008[note 9],Konami,Konami
Pro Evolution Soccer 2009[note 10],Konami,Konami
Pro Evolution Soccer 2010[note 11],Konami,Konami
Pro Evolution Soccer 2011[note 12],Konami,Konami
Pro Evolution Soccer 2012[note 13],Konami,Konami
Pro Evolution Soccer 2013[note 14],Konami,Konami
Pro Evolution Soccer 2014[note 15],Konami,Konami
Pro Evolution Soccer 2015[note 16],Konami,Konami
Pro Evolution Soccer 2016[note 17],Konami,Konami
Pro Evolution Soccer 2017[note 18],Konami,Konami
Pro Evolution Soccer 2018[note 19],Konami,Konami
Pro Evolution Soccer 6[note 20],Konami,Konami
Pro Yakyū Spirits 3,Konami,Konami
Project Gotham Racing 3,Bizarre Creations,Microsoft Game Studios
Project Gotham Racing 4,Bizarre Creations,Microsoft Game Studios
Project Sylpheed,Game Arts,Square Enix
Prototype,Radical Entertainment,Sierra Entertainment
Prototype 2,Radical Entertainment,Activision
Puddle,Neko Entertainment,Konami
Pure,Black Rock Studio,Disney Interactive Studios
Pure Football[note 21],Ubisoft Vancouver,Ubisoft
Puss in Boots,Blitz Games,THQ
Putty Squad,System 3,System 3
Puzzle Arcade,CTXM,Square Enix
