name,metascore
Allure (2013),tbd
That Orange Guy 1,tbd
Rofaxan 2089 AD,tbd
Saints Row IV: How the Saints Save Christmas,tbd
Uncraft Me 2,tbd
Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeard's Wrath,tbd
KILLBOX (2013),tbd
Omerta: City of Gangsters - The Japanese Incentive,tbd
Nostalgya,tbd
The Raven: Legacy of a Master Thief - Ancestry of Lies,87
The Raven: Legacy of a Master Thief - A Murder of Ravens,90
The Raven: Legacy of a Master Thief,90
"Saints Row IV: Hey Ash, Whatcha Playin'? Pack",tbd
Iota (2013),tbd
AstroPuzz,tbd
Battlefield 4: China Rising,tbd
Batman: Arkham Origins - Initiation,tbd
Dollar Dash: Winter Pack,tbd
Iron Axe,tbd
Sleeping Dogs: Drunken Fist Pack,tbd
State of Decay: Breakdown,80
FarmFury!,tbd
Fractopia,tbd
Hellhounds,tbd
Avatar Legends: 2360,tbd
Halo: Origins Bundle,tbd
TTY GFX ADVNTR,tbd
Elfland Reloaded Vol. 2,tbd
Slalom (2013),tbd
Batman: Arkham Origins - Black Mask Challenge Pack,tbd
Borderlands 2: Headhunter Pack 2 - The Horrible Hunger of the Ravenous Wattle Gobbler,tbd
First-Person Mathematics,tbd
Zomination,tbd
Don't Be Late For Your Date,tbd
Jump Jet Challenge,tbd
Lazy Caverns,tbd
Absolute Defense,tbd
Warlock (2013),tbd
Batman: Arkham Collection (2013),tbd
Zoo Tycoon,85
Zombie Driver HD: Garden in Flames,tbd
SoulCalibur II HD Online,76
The Walking Dead: A Telltale Games Series - Game of the Year Edition,82
Farming Simulator 2013,80
Young Justice: Legacy,tbd
Bandfuse: Rock Legends,96
Adventure Time: Explore the Dungeon Because I DON'T KNOW!,96
Farming Simulator 2013,80
The Walking Dead: A Telltale Games Series - Game of the Year Edition,82
Truck Racer,tbd
Slay Those Pixels,tbd
Deadfall Adventures,75
Contrast (2013),85
Kane & Lynch Double Pack,tbd
Tomb Raider Triple Pack,tbd
Just Cause Double Pack,tbd
2K The Shooter Collection,tbd
Viking Sport,tbd
The Bridge (2013),76
BioShock Infinite: Burial at Sea - Episode One,76
XCOM: Enemy Within,88
Injustice: Gods Among Us - Ultimate Edition,80
Evolution:Fighting 4 Survival,tbd
Arcania: The Complete Tale,96
Final Exam,85
2K Power Pack,tbd
Assassin's Creed: Heritage Collection,tbd
Call of Duty: Ghosts,78
Killer Crypt,tbd
Zumba Fitness World Party,80
Call of Duty: Ghosts,78
Ben 10 Omniverse 2,90
Vacation Vexation,tbd
Call of Duty: Ghosts - Nemesis,tbd
Dashing Donuts,tbd
Chainsaw The Zombies,tbd
