Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Genre (Giantbomb),ESRB
DEATHLOOP,Xbox / PC,Yes,Active,Sep 2022,,13.55,Sep 2021,1.02,89,Action / Strategy,M
Assassin's Creed: Odyssey,Xbox / PC,Touch Controls,Active,Sep 2022,,13.71,Oct 2018,3.96,87,Role-Playing / Action-Adventure,M
Ni no Kuni: Wrath of the White Witch - Remastered,Xbox / PC,Touch Controls,Active,Sep 2022,,13.71,Sep 2019,2.99,82,Role-Playing / Action-Adventure,E10+
You Suck at Parking,Xbox / PC,Touch Controls,Active,Sep 2022,,13.74,Sep 2022,0.00,77,Action / Driving/Racing,E
Ashes of the Singularity: Escalation,PC,,Active,Sep 2022,,13.78,Nov 2016,5.84,81,Real-Time Strategy,E10+
Disney Dreamlight Valley: Founder's Edition,Xbox / PC,Touch Controls,Active,Sep 2022,,14.01,Sep 2022,0.00,75,Simulation,E
Opus Magnum,PC,,Active,Sep 2022,,14.01,Dec 2017,4.75,90,Puzzle,T
GRID: Legends,Xbox / PC,Yes,Active,Sep 2022,,14.17,Feb 2022,0.52,75,Driving/Racing,E10+
Immortals Fenyx Rising,Xbox / PC,Touch Controls,Active,Aug 2022,,14.24,Dec 2020,1.74,81,Role-Playing / Action-Adventure,T
Opus: Echo of Starsong - Full Bloom Edition,Xbox / PC,Touch Controls,Active,Aug 2022,,14.40,Aug 2021,0.98,90,Adventure,E10+
An Elder Scrolls Legend: Battlespire,PC,,Active,Aug 2022,,14.63,Nov 1997,24.73,56,Action / Role-Playing,M
The Elder Scrolls Adventures: Redguard,PC,,Active,Aug 2022,,14.63,Oct 1998,23.81,73,Action-Adventure,T
Return to Castle Wolfenstein,PC,,Active,Aug 2022,,14.63,Nov 2001,20.76,88,First-Person Shooter,M
Quake 4,PC,,Active,Aug 2022,,14.63,Oct 2005,16.84,81,First-Person Shooter,M
Wolfenstein 3D,PC,,Active,Aug 2022,,14.63,May 1992,30.31,85,Action / First-Person Shooter,M
Cooking Simulator,Xbox / PC,Yes,Active,Aug 2022,,14.86,Jun 2019,3.18,64,Simulation,E
Offworld Trading Company,PC,,Active,Aug 2022,,14.86,Apr 2016,6.29,78,Real-Time Strategy,E
Turbo Golf Racing (Game Preview),Xbox / PC,Touch Controls,Active,Aug 2022,,15.09,Aug 2022,0.00,,Driving/Racing,E
Tom Clancy's Ghost Recon: Wildlands,Xbox / PC,Yes,Active,Aug 2022,,15.19,Mar 2017,5.41,76,Shooter,M
MotoGP 22,Xbox / PC,Yes,Active,Jul 2022,,15.55,Apr 2022,0.25,81,Driving/Racing / Simulation,E
Inside,Xbox / PC,Yes,Active,Jul 2022,,15.55,Jun 2016,6.06,93,Puzzle / Platformer,M
Sins of a Solar Empire: Rebellion,PC,,Active,Jul 2022,,15.55,Jun 2013,9.13,82,Real-Time Strategy,E10+
As Dusk Falls,Xbox / PC,Touch Controls,Active,Jul 2022,,15.62,Jul 2022,0.00,78,Adventure,M
Watch_Dogs 2,Xbox / PC,Yes,Active,Jul 2022,,15.62,Nov 2016,5.68,78,Driving/Racing / Shooter / Action-Adventure,M
Garden Story,Xbox / PC,Touch Controls,Active,Jul 2022,,15.65,Aug 2021,0.93,70,Role-Playing,E10+
Escape Academy,Xbox / PC,Touch Controls,Active,Jul 2022,,15.78,Jul 2022,0.00,81,Adventure / Puzzle,T
My Friend Peppa Pig,Xbox / PC,Touch Controls,Active,Jul 2022,,15.78,Oct 2021,0.73,65,Educational,E
PowerWash Simulator,Xbox / PC,Yes,Active,Jul 2022,,15.78,May 2021,1.15,76,Simulation,E
Yakuza 0,Xbox / PC,Touch Controls,Active,Jul 2022,,16.08,Mar 2015,7.32,85,Role-Playing / Simulation / Brawler,M
Yakuza Kiwami,Xbox / PC,Touch Controls,Active,Jul 2022,,16.08,Jan 2016,6.46,80,Brawler / Action-Adventure,M
Yakuza Kiwami 2,Xbox / PC,Touch Controls,Active,Jul 2022,,16.08,Dec 2017,4.58,82,Brawler / Action-Adventure,M
Far Cry 5,Xbox / PC,Yes,Active,Jul 2022,,16.21,Mar 2018,4.27,80,First-Person Shooter,M
House Flipper,Xbox / PC,Yes,Active,Jun 2022,,16.24,May 2018,4.12,68,Simulation,E
FIFA 22,Xbox / PC,,Active,Jun 2022,,16.47,Oct 2021,0.73,76,Sports / Soccer,E
Shadowrun Trilogy,Xbox / PC,Touch Controls,Active,Jun 2022,,16.54,Aug 2015,6.84,79,Strategy / Role-Playing,M
Assassin's Creed: Origins,Xbox / PC,Touch Controls,Active,Jun 2022,,17.00,Oct 2017,4.61,85,Role-Playing / Action-Adventure,M
Disc Room (2020),Xbox / PC,Touch Controls,Active,Jun 2022,,17.00,Oct 2020,1.62,83,Action-Adventure,T
Spacelines from the Far Out,Xbox / PC,Touch Controls,Active,Jun 2022,,17.00,Jun 2022,0.00,83,Action / Simulation,E10+
